course_name,course_num,last_name,first_name,a_num,a_per,b_num,b_per,c_num,c_per,d_num,d_per,f_num,f_per,i_num,i_per,s_num,s_per,u_num,u_per,w_num,w_per,o_num,o_per,total_num
ECH-6931 -001-C (81144),81144,Simmons,David,14,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
ECH-6285 -001-C (81683),81683,Gupta,Vinay,2,20.00,4,40.00,1,10.00,2,20.00,1,10.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,10
ECH-4123 -001-C (82344),82344,Gupta,Vinay,0,0.00,10,21.28,12,25.53,16,34.04,5,10.64,0,0.00,0,0.00,0,0.00,4,8.51,0,0,47
ECH-4605 -001-C (82533),82533,Sunol,Aydin,4,11.11,11,30.56,18,50.00,3,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,36
ECH-4605 -004-C (82534),82534,Sunol,Aydin,1,10.00,5,50.00,3,30.00,0,0.00,1,10.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,10
ECH-4931 -001-C (82859),82859,Pyayt,Anna,24,92.31,0,0.00,0,0.00,1,3.85,1,3.85,0,0.00,0,0.00,0,0.00,0,0.00,0,0,26
EMA-4003 -001-C (82940),82940,Pyayt,Anna,15,71.43,5,23.81,0,0.00,0,0.00,1,4.76,0,0.00,0,0.00,0,0.00,0,0.00,0,0,21
EGN-3433 -901-C (83515),83515,Campbell,Scott,26,35.14,25,33.78,18,24.32,0,0.00,4,5.41,0,0.00,0,0.00,0,0.00,1,1.35,0,0,74
ECH-6840 -001-C (84523),84523,Sunol,Aydin,2,28.57,1,14.29,0,0.00,0,0.00,1,14.29,3,42.86,0,0.00,0,0.00,0,0.00,0,0,7
ECH-4605 -003-C (87863),87863,Sunol,Aydin,0,0.00,1,20.00,4,80.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,5
ECH-6971 -001-T (88169),88169,Bhethanabotla,Venkat,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,4,66.67,0,0.00,0,0.00,2,33,6
ECH-4931 -801-O (89000),89000,Krisa,Thomas,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,5,100.00,0,0.00,0,0.00,0,0,5
ECH-3854 -001-C (89570),89570,Fawcett,Timothy,18,40.00,6,13.33,10,22.22,3,6.67,6,13.33,0,0.00,0,0.00,0,0.00,2,4.44,0,0,45
ECH-4605 -002-C (89571),89571,Sunol,Aydin,5,14.29,13,37.14,16,45.71,1,2.86,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,35
ECH-4504 -001-C (89572),89572,Kuhn,John,8,24.24,12,36.36,10,30.30,1,3.03,1,3.03,0,0.00,0,0.00,0,0.00,1,3.03,0,0,33
ECH-3266 -001-C (89573),89573,Toomey,Ryan,7,13.21,22,41.51,16,30.19,7,13.21,0,0.00,0,0.00,0,0.00,0,0.00,1,1.89,0,0,53
ECH-3023 -001-C (89802),89802,Gupta,Vinay,2,3.77,8,15.09,11,20.75,19,35.85,9,16.98,0,0.00,0,0.00,0,0.00,4,7.55,0,0,53
ECH-4846 -001-C (89803),89803,Joseph,Babu,1,5.26,13,68.42,3,15.79,1,5.26,1,5.26,0,0.00,0,0.00,0,0.00,0,0.00,0,0,19
ECH-4944 -001-I (89823),89823,Campbell,Scott,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,6.67,14,93.33,0,0.00,0,0.00,0,0,15
BME-4571 -001-C (90280),90280,Koria,Piyush,8,33.33,15,62.50,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
ECH-4936 -001-C (90632),90632,Toomey,Ryan,6,85.71,1,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,7
BME-6573 -001-C (91003),91003,Koria,Piyush,3,50.00,3,50.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,6
ECH-3854 -002-C (91525),91525,Fawcett,Timothy,8,36.36,7,31.82,4,18.18,1,4.55,1,4.55,0,0.00,0,0.00,0,0.00,1,4.55,0,0,22
ECH-4931 -005-O (92077),92077,Pettit,Sandra,8,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,8
ECH-4323 -001-C (92749),92749,Smith,Carlos,4,9.30,6,13.95,10,23.26,16,37.21,7,16.28,0,0.00,0,0.00,0,0.00,0,0.00,0,0,43
EGN-3000L-001-L (93680),93680,Alcantar,Norma,59,71.08,13,15.66,2,2.41,1,1.20,3,3.61,0,0.00,0,0.00,0,0.00,5,6.02,0,0,83
EGN-3000L-001I-L (93680),93680,Alcantar,Norma,5,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,5
ECH-3002 -001-C (93687),93687,Henderson,Clifford,31,39.24,14,17.72,12,15.19,4,5.06,6,7.59,0,0.00,0,0.00,0,0.00,12,15.19,0,0,79
ECH-3240L-001-L (93689),93689,Koria,Piyush,5,14.29,17,48.57,12,34.29,0,0.00,1,2.86,0,0.00,0,0.00,0,0.00,0,0.00,0,0,35
