course_num,last_name,first_name,a_num,b_num,c_num,d_num,f_num,i_num,s_num,w_num,o_num,total_num
87365,Kariyawasam,Ganesha,0,0,0,0,0,0,0,0,0,0
87604,Wright,Kenneth,0,0,0,0,0,0,0,0,0,0
87775,Todd,English,0,0,0,0,0,0,0,0,0,0
88030,Gemmell,Colbi,0,0,0,0,0,0,0,0,0,0
88032,Riordan,James,0,0,0,0,0,0,0,0,0,0
88184,Eswara,Prahathees,0,0,0,0,0,0,0,0,0,0
88204,El-Rady,Johnny,0,0,0,0,0,0,0,0,0,0
88219,Coiner,Alexis,0,0,0,0,0,0,0,0,0,0
88220,Coiner,Alexis,0,0,0,0,0,0,0,0,0,0
88294,Kariyawasam,Ganesha,0,0,0,0,0,0,0,0,0,0
