course_num,last_name,first_name,a_num,b_num,c_num,d_num,f_num,i_num,s_num,w_num,o_num,total_num
81083,Phan,Sang,0,0,0,0,0,0,0,0,0,0
81084,Saputo,Alexandra,0,0,0,0,0,0,0,0,0,0
81085,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
81112,Pham,Tony,0,0,0,0,0,0,0,0,0,0
81196,Khalife,Sandra,0,0,0,0,0,0,0,0,0,0
81197,Malik,Abdul,0,0,0,0,0,0,0,0,0,0
81198,Taylor,Ashton,0,0,0,0,0,0,0,0,0,0
81199,Malik,Abdul,0,0,0,0,0,0,0,0,0,0
81202,Leahy,James,0,0,0,0,0,0,0,0,0,0
81590,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
81736,Manjeet,FNU,0,0,0,0,0,0,0,0,0,0
81737,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
81738,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
81739,Manjeet,FNU,0,0,0,0,0,0,0,0,0,0
81740,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
81741,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
82043,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
82044,Maji,Ipsita,0,0,0,0,0,0,0,0,0,0
82045,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
82105,Jackson,Stephen,0,0,0,0,0,0,0,0,0,0
82105,Jackson,Stephen,0,0,0,0,0,0,0,0,0,0
82106,Jackson,Stephen,0,0,0,0,0,0,0,0,0,0
82106,Jackson,Stephen,0,0,0,0,0,0,0,0,0,0
82107,Jackson,Stephen,0,0,0,0,0,0,0,0,0,0
82108,Jackson,Stephen,0,0,0,0,0,0,0,0,0,0
82108,Jackson,Stephen,0,0,0,0,0,0,0,0,0,0
82370,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
82371,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
82372,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
82373,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
82452,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
82453,Nelsen,Isaiah,0,0,0,0,0,0,0,0,0,0
82547,Lopchuk,Justin,0,0,0,0,0,0,0,0,0,0
82658,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
82659,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
82921,Lawrence,Grant,0,0,0,0,0,0,0,0,0,0
82922,Lawrence,Grant,0,0,0,0,0,0,0,0,0,0
82924,Olsen,Stine,0,0,0,0,0,0,0,0,0,0
82925,Olsen,Stine,0,0,0,0,0,0,0,0,0,0
83023,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
83450,Cai,Jianfeng,0,0,0,0,0,0,0,0,0,0
83451,Evans-Nguyen,Theresa,0,0,0,0,0,0,0,0,0,0
83458,Shi,Xiaodong,0,0,0,0,0,0,0,0,0,0
83980,Taylor,Ashton,0,0,0,0,0,0,0,0,0,0
84014,Ming,Li-June,0,0,0,0,0,0,0,0,0,0
84210,Xue,Songyi,0,0,0,0,0,0,0,0,0,0
84211,Wang,Lei,0,0,0,0,0,0,0,0,0,0
84212,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
84213,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
84214,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
84215,Xue,Songyi,0,0,0,0,0,0,0,0,0,0
84216,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
84217,Zhang,Shuyao,0,0,0,0,0,0,0,0,0,0
84585,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
84586,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
84587,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
84588,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
84589,Olsen,Stine,0,0,0,0,0,0,0,0,0,0
84590,Olsen,Stine,0,0,0,0,0,0,0,0,0,0
84591,Nunziata,Jamie,0,0,0,0,0,0,0,0,0,0
84592,Nunziata,Jamie,0,0,0,0,0,0,0,0,0,0
84593,Malik,Abdul,0,0,0,0,0,0,0,0,0,0
84604,Kulatunga,Ushiri,0,0,0,0,0,0,0,0,0,0
84605,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
84606,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
84607,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
84608,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
84609,Anderson,Alissa,0,0,0,0,0,0,0,0,0,0
84610,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
84656,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
84670,Tang,Christian,0,0,0,0,0,0,0,0,0,0
84674,Senevirathne,Kona,0,0,0,0,0,0,0,0,0,0
84820,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
84821,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
84822,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
84823,Cruz,Daniel,0,0,0,0,0,0,0,0,0,0
84824,Bradley,Sean,0,0,0,0,0,0,0,0,0,0
84825,Bradley,Sean,0,0,0,0,0,0,0,0,0,0
84835,Mahmoud,Mentalla,0,0,0,0,0,0,0,0,0,0
84836,Deda,Angeline,0,0,0,0,0,0,0,0,0,0
84837,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
85445,Ming,Li-June,0,0,0,0,0,0,0,0,0,0
85733,Ming,Li-June,0,0,0,0,0,0,0,0,0,0
85885,Xue,Menglin,0,0,0,0,0,0,0,0,0,0
85886,Yu,Huaxuan,0,0,0,0,0,0,0,0,0,0
85888,Shen,Ning,0,0,0,0,0,0,0,0,0,0
85889,Gu,Meng,0,0,0,0,0,0,0,0,0,0
85890,Shen,Ning,0,0,0,0,0,0,0,0,0,0
85891,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
85892,Xue,Menglin,0,0,0,0,0,0,0,0,0,0
85893,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
85894,Zhang,Zhanpeng,0,0,0,0,0,0,0,0,0,0
85895,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
85896,Osei Bobbie,Sylvester,0,0,0,0,0,0,0,0,0,0
85897,Munjerin,Sefat E,0,0,0,0,0,0,0,0,0,0
85898,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
85899,Li,Zilu,0,0,0,0,0,0,0,0,0,0
85912,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
85913,Senn,Michaela,0,0,0,0,0,0,0,0,0,0
85914,Deda,Angeline,0,0,0,0,0,0,0,0,0,0
85915,Mahmoud,Mentalla,0,0,0,0,0,0,0,0,0,0
85916,Thompson,Harriet,0,0,0,0,0,0,0,0,0,0
85917,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
86055,Mariscal,Alexander,0,0,0,0,0,0,0,0,0,0
86056,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
86058,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
86514,Khalife,Sandra,0,0,0,0,0,0,0,0,0,0
87405,Tirado,Katrinah,0,0,0,0,0,0,0,0,0,0
87638,Pham,Tony,0,0,0,0,0,0,0,0,0,0
87643,Liu,Dexin,0,0,0,0,0,0,0,0,0,0
87644,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
