0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
CHM-2045L-012-L (80093),21,87.50,3,12.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2045L-007-L (80094),19,79.17,4,16.67,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2045L-901-L (80095),20,83.33,3,12.50,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2045L-902-L (80096),22,91.67,1,4.17,0,0.00,0,0.00,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2045L-905-L (80097),20,83.33,4,16.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2045L-906-L (80098),21,87.50,2,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.17,0,0,24
CHM-2045L-907-L (80099),18,75.00,3,12.50,1,4.17,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,1,4.17,0,0,24
CHM-2046 -001-C (80100),75,29.41,90,35.29,61,23.92,15,5.88,4,1.57,1,0.39,0,0.00,0,0.00,9,3.53,0,0,255
CHM-2210 -001-C (80101),9,30.00,12,40.00,5,16.67,3,10.00,0,0.00,0,0.00,0,0.00,0,0.00,1,3.33,0,0,30
CHM-2210 -002-C (80102),6,20.00,12,40.00,7,23.33,1,3.33,1,3.33,1,3.33,0,0.00,0,0.00,2,6.67,0,0,30
CHM-2210 -003-C (80103),7,23.33,11,36.67,7,23.33,1,3.33,1,3.33,0,0.00,0,0.00,0,0.00,3,10.00,0,0,30
CHM-2210 -004-C (80104),9,30.00,7,23.33,9,30.00,1,3.33,4,13.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0,30
CHM-2210 -005-C (80105),9,30.00,14,46.67,2,6.67,2,6.67,2,6.67,0,0.00,0,0.00,0,0.00,1,3.33,0,0,30
CHM-2210 -006-C (80106),14,46.67,12,40.00,2,6.67,1,3.33,1,3.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0,30
CHM-2210 -011-C (80107),4,13.33,7,23.33,10,33.33,7,23.33,1,3.33,0,0.00,0,0.00,0,0.00,1,3.33,0,0,30
CHM-2210 -012-C (80108),6,20.00,9,30.00,8,26.67,3,10.00,2,6.67,0,0.00,0,0.00,0,0.00,2,6.67,0,0,30
CHM-2210 -013-C (80109),9,30.00,13,43.33,5,16.67,2,6.67,0,0.00,1,3.33,0,0.00,0,0.00,0,0.00,0,0,30
CHM-2210 -014-C (80110),7,23.33,5,16.67,10,33.33,3,10.00,3,10.00,0,0.00,0,0.00,0,0.00,2,6.67,0,0,30
CHM-2210 -015-C (80111),3,10.00,8,26.67,9,30.00,5,16.67,2,6.67,0,0.00,0,0.00,0,0.00,3,10.00,0,0,30
CHM-2210 -016-C (80112),11,35.48,9,29.03,7,22.58,2,6.45,0,0.00,0,0.00,0,0.00,0,0.00,2,6.45,0,0,31
CHM-2210L-001-L (80113),14,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
