course_name,course_num,last_name,first_name,a_num,a_per,b_num,b_per,c_num,c_per,d_num,d_per,f_num,f_per,i_num,i_per,s_num,s_per,u_num,u_per,w_num,w_per,o_num,o_per,total_num
ENV-4620 -901-C (96288),96288,Trotz,Maya,14,93.33,1,6.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,15
CDA-3201 -001-C (80730),80730,Zhang,Yan,24,28.92,34,40.96,19,22.89,1,1.20,5,6.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0,83
CDA-3201L-001-L (80731),80731,Alfenas Reis,Dayane,30,90.91,2,6.06,0,0.00,0,0.00,1,3.03,0,0.00,0,0.00,0,0.00,0,0.00,0,0,33
CDA-3201L-003-L (80732),80732,Zhang,Yan,32,94.12,1,2.94,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,2.94,0,0,34
CDA-4205 -001-C (80733),80733,Mozaffari Kermani,Mehran,56,58.95,35,36.84,4,4.21,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,95
CGS-2060 -001-C (80734),80734,Anderson,James,29,32.58,16,17.98,17,19.10,9,10.11,14,15.73,0,0.00,0,0.00,0,0.00,4,4.49,0,0,89
CIS-4910 -001-Z (80736),80736,Christensen,Kenneth,10,31.25,14,43.75,8,25.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,32
COP-2510 -001-C (80737),80737,Small,Schinnel,16,22.86,33,47.14,15,21.43,3,4.29,2,2.86,0,0.00,0,0.00,0,0.00,1,1.43,0,0,70
COP-3514 -001-C (80738),80738,Wang,Jing,39,41.05,32,33.68,9,9.47,5,5.26,5,5.26,0,0.00,0,0.00,0,0.00,5,5.26,0,0,95
COT-6405 -001-C (80741),80741,Canavan,Shaun,139,90.85,10,6.54,1,0.65,1,0.65,0,0.00,0,0.00,0,0.00,0,0.00,2,1.31,0,0,153
EEL-6764 -001-C (80742),80742,Zheng,Hao,83,71.55,29,25.00,2,1.72,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,1.72,0,0,116
COP-2510 -002-C (80915),80915,Small,Schinnel,34,48.57,21,30.00,11,15.71,1,1.43,0,0.00,0,0.00,0,0.00,0,0.00,3,4.29,0,0,70
CAP-5400 -001-C (80918),80918,Goldgof,Dmitry,17,73.91,4,17.39,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,8.70,0,0,23
CIS-6930 -003-C (80919),80919,Woodward,Julia,23,71.88,9,28.13,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,32
CIS-6930 -001-C (81032),81032,Sun,Yu,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,9,100.00,0,0.00,0,0.00,0,0,9
CDA-3103 -001-C (81151),81151,Zhang,Yan,26,27.08,48,50.00,12,12.50,0,0.00,8,8.33,0,0.00,0,0.00,0,0.00,2,2.08,0,0,96
EEL-5771 -001-C (81701),81701,Piegl,Les,60,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,60
CIS-4930 -002-C (82252),82252,Zheng,Hao,7,58.33,4,33.33,1,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,12
CDA-4213 -001-C (82260),82260,Katkoori,Srinivas,37,80.43,5,10.87,4,8.70,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,46
CIS-6930 -007-C (82591),82591,Katkoori,Srinivas,9,69.23,2,15.38,1,7.69,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,7.69,0,0,13
CIS-4930 -001-C (82592),82592,Yavuz,Attila,12,48.00,10,40.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,12.00,0,0,25
CDA-3201L-002-L (82781),82781,Alfenas Reis,Dayane,23,85.19,3,11.11,1,3.70,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,27
CIS-4900 -018-Z (83103),83103,Li,Wanwan,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,20.00,4,80.00,0,0.00,0,0.00,0,0,5
CIS-4930 -004-C (83488),83488,Pazos Revilla,Marbin,25,80.65,4,12.90,0,0.00,1,3.23,1,3.23,0,0.00,0,0.00,0,0.00,0,0.00,0,0,31
CIS-4930 -007-C (83894),83894,Katkoori,Srinivas,22,68.75,4,12.50,4,12.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,6.25,0,0,32
CDA-4213L-001-L (83989),83989,Katkoori,Srinivas,25,86.21,0,0.00,4,13.79,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,29
CDA-4213L-002-L (83990),83990,Katkoori,Srinivas,12,75.00,0,0.00,4,25.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,16
COP-2510 -003-C (84071),84071,Small,Schinnel,18,25.71,36,51.43,10,14.29,3,4.29,0,0.00,0,0.00,0,0.00,0,0.00,3,4.29,0,0,70
COP-3515 -001-C (84224),84224,Anderson,James,20,25.00,32,40.00,20,25.00,2,2.50,2,2.50,0,0.00,0,0.00,0,0.00,4,5.00,0,0,80
COP-4530 -002-C (84299),84299,Korzhova,Valentina,45,42.06,28,26.17,22,20.56,0,0.00,7,6.54,0,0.00,0,0.00,0,0.00,5,4.67,0,0,107
CIS-6930 -002-C (84803),84803,Yavuz,Attila,4,40.00,2,20.00,3,30.00,0,0.00,1,10.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,10
CEN-4072 -901-C (85049),85049,Piegl,Les,49,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,49
COP-4703 -001-C (85141),85141,Fang,Suey-Chyun,7,11.86,34,57.63,13,22.03,0,0.00,3,5.08,0,0.00,0,0.00,0,0.00,2,3.39,0,0,59
CDA-4621 -001-C (85971),85971,Weitzenfeld,Alfredo,7,26.92,6,23.08,2,7.69,0,0.00,4,15.38,0,0.00,0,0.00,0,0.00,7,26.92,0,0,26
CAP-5771 -001-C (86125),86125,Hall,Lawrence,23,41.82,22,40.00,9,16.36,1,1.82,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,55
CIS-4250 -002-D (86661),86661,Licato,John,13,34.21,17,44.74,7,18.42,0,0.00,1,2.63,0,0.00,0,0.00,0,0.00,0,0.00,0,0,38
COP-4600 -001-C (86699),86699,Li,Wanwan,46,48.42,35,36.84,7,7.37,2,2.11,2,2.11,1,1.05,0,0.00,0,0.00,2,2.11,0,0,95
CIS-6930 -700-O (87130),87130,Hoeke,Marilynn Carol,3,42.86,4,57.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,7
COT-4521 -001-C (87381),87381,Korzhova,Valentina,3,17.65,7,41.18,4,23.53,0,0.00,1,5.88,0,0.00,0,0.00,0,0.00,2,11.76,0,0,17
CGS-3853 -001-C (88026),88026,Hidalgo,Isabela,28,40.00,32,45.71,5,7.14,0,0.00,4,5.71,0,0.00,0,0.00,0,0.00,1,1.43,0,0,70
COP-3514 -002-C (88165),88165,Wang,Jing,45,47.87,30,31.91,5,5.32,6,6.38,1,1.06,0,0.00,0,0.00,0,0.00,7,7.45,0,0,94
CDA-3103 -002-C (88185),88185,Zhang,Yan,21,22.11,43,45.26,10,10.53,15,15.79,4,4.21,0,0.00,0,0.00,0,0.00,2,2.11,0,0,95
COT-4210 -001-C (88554),88554,Korzhova,Valentina,34,45.95,21,28.38,9,12.16,2,2.70,4,5.41,0,0.00,0,0.00,0,0.00,4,5.41,0,0,74
CGS-1540 -001-C (88983),88983,Hidalgo,Isabela,98,51.85,52,27.51,15,7.94,8,4.23,8,4.23,0,0.00,0,0.00,0,0.00,8,4.23,0,0,189
CNT-4104 -001-O (88988),88988,Rauscher,Richard,20,24.10,36,43.37,19,22.89,5,6.02,2,2.41,0,0.00,0,0.00,0,0.00,1,1.20,0,0,83
CIS-4250 -003-D (89240),89240,Murray-Bruce,Oluwaremilekun John,26,44.83,29,50.00,3,5.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,58
